iter	Passed	Remaining
466	746	852
467	748	850
468	749	848
469	751	846
470	752	845
471	754	843
472	755	841
473	756	839
474	757	837
475	759	836
476	760	834
477	762	832
478	763	830
479	764	828
480	766	826
481	767	824
482	768	822
483	769	820
484	771	818
485	772	816
486	774	815
487	775	813
488	777	812
489	778	810
490	779	808
491	781	806
492	782	805
493	784	803
494	786	801
495	787	800
496	788	798
497	790	796
498	791	794
499	792	792
500	793	790
501	794	788
502	796	787
503	797	785
504	799	783
505	800	781
506	801	779
507	803	777
508	804	776
509	805	774
510	806	772
511	808	770
512	809	768
513	810	766
514	812	764
515	813	762
516	814	761
517	815	759
518	817	757
519	818	755
520	819	753
521	821	751
522	822	749
523	823	747
524	824	746
525	826	744
526	827	742
527	828	740
528	829	738
529	831	737
530	832	735
531	834	733
532	835	732
533	836	730
534	837	728
535	839	726
536	840	724
537	841	722
538	843	721
539	844	719
540	845	717
541	846	715
542	848	713
543	849	712
544	850	710
545	852	708
546	853	706
547	854	704
548	855	703
549	857	701
550	858	699
551	859	697
552	860	695
553	862	694
554	863	692
555	865	690
556	866	688
557	867	687
558	868	685
559	869	683
560	871	681
561	872	680
562	874	678
563	875	676
564	876	675
565	878	673
566	880	672
567	881	670
568	882	668
569	883	666
570	884	664
571	886	663
572	887	661
573	889	659
574	890	658
575	891	656
576	893	654
577	894	653
578	896	651
579	897	649
580	898	648
581	899	646
582	901	644
583	902	643
584	904	641
585	905	639
586	906	637
587	907	636
588	909	634
589	910	632
590	911	631
591	913	629
592	914	627
593	915	626
594	917	624
595	918	622
596	919	620
597	920	619
598	921	617
599	923	615
600	924	613
601	926	612
602	927	610
603	928	608
604	929	607
605	931	605
606	932	603
607	933	602
608	934	600
609	936	598
610	937	596
611	938	595
612	940	593
613	941	591
614	942	590
615	944	588
616	945	586
617	946	585
618	948	583
619	949	581
620	950	580
621	951	578
622	953	576
623	954	575
624	956	573
625	957	571
626	958	570
627	959	568
628	961	567
629	962	565
630	964	563
631	965	562
632	966	560
633	967	558
634	969	557
635	970	555
636	971	553
637	973	552
638	974	550
639	976	549
640	977	547
641	978	545
642	980	544
643	981	542
644	982	540
645	984	539
646	985	537
647	986	536
648	988	534
649	989	532
650	990	531
651	992	529
652	993	527
653	994	526
654	995	524
655	997	522
656	998	521
657	1000	519
658	1001	518
659	1002	516
660	1003	514
661	1004	512
662	1005	511
663	1007	509
664	1008	508
665	1009	506
666	1011	504
667	1012	503
668	1014	501
669	1015	500
670	1016	498
671	1017	496
672	1018	495
673	1020	493
674	1021	492
675	1023	490
676	1024	488
677	1025	487
678	1027	485
679	1028	484
680	1029	482
681	1031	480
682	1032	479
683	1033	477
684	1034	475
685	1035	474
686	1037	472
687	1038	471
688	1040	469
689	1041	468
690	1043	466
691	1045	465
692	1047	463
693	1048	462
694	1050	460
695	1051	459
696	1053	457
697	1054	456
698	1056	454
699	1058	453
700	1059	451
701	1060	450
702	1062	448
703	1064	447
704	1065	445
705	1067	444
706	1068	442
707	1070	441
708	1071	439
709	1073	438
710	1074	436
711	1076	435
712	1077	433
713	1078	432
714	1080	430
715	1081	429
716	1082	427
717	1084	425
718	1085	424
719	1087	422
720	1088	421
721	1090	419
722	1091	418
723	1092	416
724	1094	414
725	1095	413
726	1097	412
727	1098	410
728	1099	408
729	1101	407
730	1103	406
731	1104	404
732	1105	402
733	1106	401
734	1108	399
735	1109	397
736	1110	396
737	1112	394
738	1113	393
739	1114	391
740	1115	390
741	1117	388
742	1119	387
743	1120	385
744	1121	383
745	1122	382
746	1123	380
747	1125	379
748	1126	377
749	1128	376
750	1129	374
751	1130	372
752	1131	371
753	1133	369
754	1134	368
755	1135	366
756	1136	364
757	1137	363
758	1139	361
759	1141	360
760	1142	358
761	1143	357
762	1144	355
763	1146	354
764	1148	352
765	1150	351
766	1151	349
767	1152	348
768	1154	346
769	1156	345
770	1157	343
771	1158	342
772	1159	340
773	1161	339
774	1162	337
775	1164	336
776	1165	334
777	1166	332
778	1167	331
779	1168	329
780	1170	328
781	1171	326
782	1173	325
783	1174	323
784	1175	321
785	1176	320
786	1178	318
787	1179	317
788	1181	315
789	1182	314
790	1183	312
791	1184	311
792	1186	309
793	1187	308
794	1188	306
795	1189	304
796	1190	303
797	1192	301
798	1193	300
799	1194	298
800	1196	297
801	1197	295
802	1198	294
803	1199	292
804	1201	290
805	1202	289
806	1203	287
807	1205	286
808	1206	284
809	1207	283
810	1209	281
811	1210	280
812	1211	278
813	1212	277
814	1214	275
815	1215	274
816	1216	272
817	1217	270
818	1219	269
819	1220	267
820	1221	266
821	1223	264
822	1224	263
823	1225	261
824	1226	260
825	1228	258
826	1229	257
827	1230	255
828	1232	254
829	1233	252
830	1234	251
831	1235	249
832	1236	247
833	1238	246
834	1239	245
835	1241	243
836	1242	241
837	1243	240
838	1245	239
839	1246	237
840	1248	236
841	1250	234
842	1251	233
843	1253	231
844	1254	230
845	1256	228
846	1257	227
847	1258	225
848	1260	224
849	1261	222
850	1262	221
851	1264	219
852	1265	218
853	1266	216
854	1267	215
855	1269	213
856	1270	211
857	1271	210
858	1272	208
859	1274	207
860	1276	206
861	1277	204
862	1278	202
863	1279	201
864	1280	199
865	1281	198
866	1283	196
867	1285	195
868	1286	193
869	1287	192
870	1289	190
871	1290	189
872	1291	187
873	1293	186
874	1294	184
875	1295	183
876	1296	181
877	1298	180
878	1299	178
879	1300	177
880	1302	175
881	1303	174
882	1304	172
883	1306	171
884	1307	169
885	1308	168
886	1309	166
887	1311	165
888	1312	163
889	1313	162
890	1315	160
891	1316	159
892	1317	157
893	1318	156
894	1319	154
895	1321	153
896	1322	151
897	1323	150
898	1324	148
899	1326	147
900	1327	145
901	1329	144
902	1330	142
903	1331	141
904	1333	139
905	1335	138
906	1336	137
907	1338	135
908	1339	134
909	1340	132
910	1342	131
911	1344	129
912	1345	128
913	1347	126
914	1348	125
915	1349	123
916	1351	122
917	1352	120
918	1353	119
919	1354	117
920	1355	116
921	1357	114
922	1358	113
923	1359	111
924	1361	110
925	1362	108
926	1363	107
927	1365	105
928	1366	104
929	1367	102
930	1369	101
931	1370	99
932	1371	98
933	1373	97
934	1374	95
935	1375	94
936	1377	92
937	1378	91
938	1379	89
939	1381	88
940	1382	86
941	1383	85
942	1384	83
943	1386	82
944	1387	80
945	1388	79
946	1390	77
947	1391	76
948	1392	74
949	1393	73
950	1395	71
951	1396	70
952	1397	68
953	1399	67
954	1400	65
955	1401	64
956	1403	63
957	1404	61
958	1406	60
959	1407	58
960	1409	57
961	1411	55
962	1412	54
963	1413	52
964	1414	51
965	1416	49
966	1417	48
967	1418	46
968	1420	45
969	1421	43
970	1422	42
971	1423	41
972	1425	39
973	1426	38
974	1427	36
975	1429	35
976	1430	33
977	1431	32
978	1433	30
979	1434	29
980	1435	27
981	1437	26
982	1438	24
983	1440	23
984	1441	21
985	1442	20
986	1444	19
987	1445	17
988	1446	16
989	1448	14
990	1449	13
991	1450	11
992	1452	10
993	1453	8
994	1454	7
995	1456	5
996	1457	4
997	1458	2
998	1460	1
999	1461	0
